rank,state,visited
1,California,39849872
2,Texas,28449186
3,Florida,21002678
4,New York,19889657
5,Pennsylvania,12819975
6,Illinois,12815607
7,Ohio,11646273
8,Georgia,10450316
9,North Carolina,10247632
10,Michigan,9935116
11,New Jersey,8996351
12,Virginia,8492783
13,Washington,7384721
14,Arizona,7026629
15,Massachusetts,6873018
16,Tennessee,6705339
17,Indiana,6663280
18,Missouri,6123362
19,Maryland,6068511
20,Wisconsin,5795147
21,Colorado,5658546
22,Minnesota,5554532
23,South Carolina,5030118
24,Alabama,4884115
25,Louisiana,4714192
26,Kentucky,4450042
27,Oregon,4144527
28,Oklahoma,3974794
29,Connecticut,3583134
30,Iowa,3152735
31,Utah,3098761
32,Arkansas,3000942
33,Nevada,2995973
34,Mississippi,2990113
35,Kansas,2929909
36,New Mexico,2084193
37,Nebraska,1922610
38,West Virginia,1834882
39,Idaho,1695178
40,Hawaii,1454295
41,New Hampshire,1335832
42,Maine,1327472
43,Rhode Island,1059080
44,Montana,1052343
45,Delaware,965866
46,South Dakota,868799
47,North Dakota,790701
48,Alaska,741204
49,District of Columbia,697012
50,Vermont,624592
51,Wyoming,589713
